,sa,hi_ref,hi_pred,BLEU,CHRF++
0,अस्तीत्येवोपलब्धव्यस्तत्त्वभावेन चोभयोः अस्तीत्येवोपलब्धस्य तत्त्वभावः प्रसीदति,वह आत्मा 'है' इस प्रकार ही उपलब्ध किया जाना चाहिये तथा उसे तत्त्वभावसे भी जानना चाहिये इन दोनों प्रकारकी उपलब्धियोंमेंसे जिसे 'है' इस प्रकारकी उपलब्धि हो गयी है तत्त्वभाव उसके अभिमुख हो जाता है,वह आत्मा 'है' इस प्रकार ही उपलब्ध किया जाना चाहिये तथा उसे तत्त्वभावसे भी जानना चाहिये इन दोनों प्रकारकी उपलब्धियोंमेंसे जिसे 'है' इस प्रकारकी उपलब्धि हो गयी है तत्त्वभाव उसके अभिमुख हो जाता है,100.00000000000004,100.0
1,चोभयोः अस्तीत्येवोपलब्धव्यस्तत्त्वभावेन प्रसीदति तत्त्वभावः अस्तीत्येवोपलब्धस्य,वह आत्मा 'है' इस प्रकार ही उपलब्ध किया जाना चाहिये तथा उसे तत्त्वभावसे भी जानना चाहिये इन दोनों प्रकारकी उपलब्धियोंमेंसे जिसे 'है' इस प्रकारकी उपलब्धि हो गयी है तत्त्वभाव उसके अभिमुख हो जाता है,वह आत्मा 'है' इस प्रकार ही उपलब्ध किया जाना चाहिये तथा उसे तत्त्वभावसे भी जानना चाहिये इन दोनों प्रकारकी उपलब्धियोंमेंसे जिसे 'है' इस प्रकारकी उपलब्धि हो गयी है तत्त्वभाव उसके अभिमुख हो जाता है,100.00000000000004,100.0
2,तत्त्वभावः अस्तीत्येवोपलब्धस्य चोभयोः प्रसीदति अस्तीत्येवोपलब्धव्यस्तत्त्वभावेन,वह आत्मा 'है' इस प्रकार ही उपलब्ध किया जाना चाहिये तथा उसे तत्त्वभावसे भी जानना चाहिये इन दोनों प्रकारकी उपलब्धियोंमेंसे जिसे 'है' इस प्रकारकी उपलब्धि हो गयी है तत्त्वभाव उसके अभिमुख हो जाता है,वह आत्मा 'है' इस प्रकार ही उपलब्ध किया जाना चाहिये तथा उसे तत्त्वभावसे भी जानना चाहिये इन दोनों प्रकारकी उपलब्धियोंमेंसे जिसे 'है' इस प्रकारकी उपलब्धि हो गयी है तत्त्वभाव उसके अभिमुख हो जाता है,100.00000000000004,100.0
3,[वै] यथा त्वया दृष्टा तथाऽऽस्ते त्वत्प्रतीक्षिणी सा दद्यमाना भृशं वाला पत्रार्धेनाभिसंवृता,'उसे तुमने जिस अवस्थामें देखा था. उसी अवस्थामें वह आज भी है और तुम्हारे आगमन की प्रतीक्षा कर रही है आधे वखते अपने शरीरको ढँककर वह युवती तुम्हारी विरहाग्निमें निरन्तर जल रही है,'उसे तुमने जिस अवस्थामें देखा था. उसी अवस्थामें वह आज भी है और तुम्हारे आगमन की प्रतीक्षा कर रही है आधे वखते अपने शरीरको ढँककर वह युवती तुम्हारी विरहाग्निमें निरन्तर जल रही है,100.00000000000004,100.0
4,सा त्वया पत्रार्धेनाभिसंवृता यथा त्वत्प्रतीक्षिणी भृशं दद्यमाना वाला दृष्टा [वै] तथाऽऽस्ते,'उसे तुमने जिस अवस्थामें देखा था. उसी अवस्थामें वह आज भी है और तुम्हारे आगमन की प्रतीक्षा कर रही है आधे वखते अपने शरीरको ढँककर वह युवती तुम्हारी विरहाग्निमें निरन्तर जल रही है,'उसे तुमने जिस अवस्थामें देखा था. उसी अवस्थामें वह आज भी है और तुम्हारे आगमन की प्रतीक्षा कर रही है आधे वखते अपने शरीरको ढँककर वह युवती तुम्हारी विरहाग्निमें निरन्तर जल रही है,100.00000000000004,100.0
5,भिन्नं ? किं करणम् इत्युच्यते पुनस्तदेवैकमनेकधा,पहले जो एक ही अनेक प्रकार से विभिन्न करण बतलाया है वह कौन है ? इसपर कहते हैं,पहले जो एक ही अनेक प्रकार से विभिन्न करण बतलाया है वह कौन है? इसपर कहते हैं,100.00000000000004,100.0
6,किं इत्युच्यते ? पुनस्तदेवैकमनेकधा करणम् भिन्नं,पहले जो एक ही अनेक प्रकार से विभिन्न करण बतलाया है वह कौन है ? इसपर कहते हैं,पहले जो एक ही अनेक प्रकार से विभिन्न करण बतलाया है वह कौन है? इसपर कहते हैं,100.00000000000004,100.0
7,नानात्वमेकत्वमुभत्वमन्यता अणुत्वदीर्घत्वमहत्वशून्यता ॥,"उसमें अनेकपना नहीं हैं, एकत्व नहीं हैं, भेद भी नहीं हैं, छोटापन, लम्बापन बड़ापन ये भी उसमें नहीं हैं, प्रमाण, अप्रमाण, समता, इनसे बर्जित है, उस नित्य ईश्वर आत्मा को योगी प्राप्त होता है","उसमें अनेकपना नहीं हैं, एकत्व नहीं हैं, भेद भी नहीं हैं, छोटापन, लम्बापन बड़ापन ये भी उसमें नहीं हैं, प्रमाण, अप्रमाण, समता, इनसे बर्जित है, उस नित्य ईश्वर आत्मा को योगी प्राप्त होता है",100.00000000000004,100.0
8,अणुत्वदीर्घत्वमहत्वशून्यता नानात्वमेकत्वमुभत्वमन्यता ॥,"उसमें अनेकपना नहीं हैं, एकत्व नहीं हैं, भेद भी नहीं हैं, छोटापन, लम्बापन बड़ापन ये भी उसमें नहीं हैं, प्रमाण, अप्रमाण, समता, इनसे बर्जित है, उस नित्य ईश्वर आत्मा को योगी प्राप्त होता है","उसमें अनेकपना नहीं हैं, एकत्व नहीं हैं, भेद भी नहीं हैं, छोटापन, लम्बापन बड़ापन ये भी उसमें नहीं हैं, प्रमाण, अप्रमाण, समता, इनसे बर्जित है, उस नित्य ईश्वर आत्मा को योगी प्राप्त होता है",100.00000000000004,100.0
9,नानात्वमेकत्वमुभत्वमन्यता अणुत्वदीर्घत्वमहत्वशून्यता ॥,"उसमें अनेकपना नहीं हैं, एकत्व नहीं हैं, भेद भी नहीं हैं, छोटापन, लम्बापन बड़ापन ये भी उसमें नहीं हैं, प्रमाण, अप्रमाण, समता, इनसे बर्जित है, उस नित्य ईश्वर आत्मा को योगी प्राप्त होता है","उसमें अनेकपना नहीं हैं, एकत्व नहीं हैं, भेद भी नहीं हैं, छोटापन, लम्बापन बड़ापन ये भी उसमें नहीं हैं, प्रमाण, अप्रमाण, समता, इनसे बर्जित है, उस नित्य ईश्वर आत्मा को योगी प्राप्त होता है",100.00000000000004,100.0
10,जितेन्द्रियोऽहं त्वजितेन्द्रियो वा न संयमो मे नियमो न जातः ॥,में जितेन्द्रिय हूँ और अजितेन्द्रिय हूँ न मेरे संयम है नियम है हे मित्र ! जीतना और हारना मेरे नहीं है उसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,में जितेन्द्रिय हूँ और अजितेन्द्रिय हूँ न मेरे संयम है नियम है हे मित्र! जीतना और हारना मेरे नहीं है उसका वर्णन कैसे करूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
11,सिद्धिः एवं त्वमुं कल्पितम् नैव स्वयं विकल्पवर्जनं मार्गं प्रवर्तते योगिनां ज्ञात्वा तेषां,जो कल्पना नहीं किया गया है और विकल्पसे वर्जित है ऐसे योगियों के इस मार्ग को जानकर उनकी सिद्धि आपही होजाती है,जो कल्पना नहीं किया गया है और विकल्पसे वर्जित है ऐसे योगियों के इस मार्ग को जानकर उनकी सिद्धि आपही होजाती है,100.00000000000004,100.0
12,नो व्यापकं व्याप्यमिहास्ति किंचित् न चालयं वापि निरालयं वा ॥,न तो यहां कुछ व्यापक है न व्यापक होने के योग्य कुछ है न उपदेश है न क्रिया है फिर उस ज्ञानस्वरूप को कैसे कहूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,न तो यहां कुछ व्यापक है न व्यापक होने के योग्य कुछ है न उपदेश है न क्रिया है फिर उस ज्ञानस्वरूप को कैसे कहूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
13,व्याप्यमिहास्ति वा नो वापि किंचित् निरालयं व्यापकं चालयं न ॥,न तो यहां कुछ व्यापक है न व्यापक होने के योग्य कुछ है न उपदेश है न क्रिया है फिर उस ज्ञानस्वरूप को कैसे कहूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,न तो यहां कुछ व्यापक है न व्यापक होने के योग्य कुछ है न उपदेश है न क्रिया है फिर उस ज्ञानस्वरूप को कैसे कहूँ में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
